asin,rakuten_url,target_margin,category
B0CPL68SZN,https://item.rakuten.co.jp/bshop03/ec-b0g2q54ltr/,1000,other
B07HB1Z4GQ,https://item.rakuten.co.jp/soukaidrink/8002270055850/,300,other
B000MEKG30,https://item.rakuten.co.jp/upperhouse/411151/,300,other
B0G3YCRJKX,https://item.rakuten.co.jp/sea-story-kagoshima/sea-story-0840268991890/,800,electronics
B0G2TXBSWJ,https://item.rakuten.co.jp/sea-story-kagoshima/2822-002850/,1500,electronics
B0G2TXCWFH,https://item.rakuten.co.jp/r-kojima/0840268978204/,1500,electronics
B0FX53RQ1B,https://item.rakuten.co.jp/jism/4948872417242-54-62526-n/,1500,electronics
B0GWPKH9DY,https://item.rakuten.co.jp/jism/4902370554298-54-46583-n/,800,game
B0GKMJSYB1,https://item.rakuten.co.jp/jism/4902370553963-54-46585-n/,800,game
B09LCLQRVZ,https://item.rakuten.co.jp/try/4-pm-u-389907-01/,500,apparel
